| forward | red | None | None | None |  |
| left | red | left | None | left |  |
| left | red | left | None | right |  |
| left | red | left | forward | None |  |
| left | red | left | forward | forward |  |
| left | red | left | forward | left |  |
| left | red | left | forward | right |  |
| left | red | left | left | None |  |
| left | red | left | left | forward |  |
| left | red | left | left | left |  |
| left | red | left | left | right |  |
| left | red | left | right | None |  |
| left | red | left | right | forward |  |
| left | red | left | right | left |  |
| left | red | left | right | right |  |
| left | red | right | None | None |  |
| left | red | right | None | forward |  |
| left | red | right | None | left |  |
| left | red | right | None | right |  |
| left | red | right | forward | None |  |
| left | red | right | forward | forward |  |
| left | red | right | forward | left |  |
| left | red | right | forward | right |  |
| left | red | right | left | None |  |
| left | red | right | left | forward |  |
| left | red | right | left | left |  |
| left | red | right | left | right |  |
| left | red | right | right | None |  |
| left | red | right | right | forward |  |
| left | red | right | right | left |  |
| left | red | right | right | right |  |
| right | red | None | None | None |  |
| right | red | None | None | forward |  |
| right | red | None | None | left |  |
| right | red | None | None | right |  |
| right | red | None | forward | None |  |
| right | red | None | forward | forward |  |
| right | red | None | forward | left |  |
| right | red | None | forward | right |  |
| right | red | None | left | None |  |
| right | red | None | left | forward |  |
| right | red | None | left | left |  |
| right | red | None | left | right |  |
| right | red | None | right | None |  |
| right | red | None | right | forward |  |
| right | red | None | right | left |  |
| right | red | None | right | right |  |
| right | red | forward | None | None |  |
| right | red | forward | None | forward |  |
| right | red | forward | None | left |  |
| right | red | forward | None | right |  |
| right | red | forward | forward | None |  |
| right | red | forward | forward | forward |  |
| right | red | forward | forward | left |  |
| right | red | forward | forward | right |  |
| right | red | forward | left | None |  |
| right | red | forward | left | forward |  |
| right | red | forward | left | left |  |
| right | red | forward | left | right |  |
| right | red | forward | right | None |  |
| right | red | forward | right | forward |  |
| right | red | forward | right | left |  |
| right | red | forward | right | right |  |
| right | red | left | None | None |  |
| right | red | left | None | forward |  |
| right | red | left | None | left |  |
| right | red | left | None | right |  |
| right | red | left | forward | None |  |
| right | red | left | forward | forward |  |
| right | red | left | forward | left |  |
| right | red | left | forward | right |  |
| right | red | left | left | None |  |
| right | red | left | left | forward |  |
| right | red | left | left | left |  |
| right | red | left | left | right |  |
| right | red | left | right | None |  |
| right | red | left | right | forward |  |
| right | red | left | right | left |  |
| right | red | left | right | right |  |
| right | red | right | None | None |  |
| right | red | right | None | forward |  |
| right | red | right | None | left |  |
| right | red | right | None | right |  |
| right | red | right | forward | None |  |
| right | red | right | forward | forward |  |
| right | red | right | forward | left |  |
| right | red | right | forward | right |  |
| right | red | right | left | None |  |
| right | red | right | left | forward |  |
| right | red | right | left | left |  |
| right | red | right | left | right |  |
| right | red | right | right | None |  |
| right | red | right | right | forward |  |
| right | red | right | right | left |  |
| right | red | right | right | right |  |
